Category,Level1,Level2,Level3,Level4,All,Large,Super,Public,Small,,Type
國家文官學院2014年國際人力資源發展研習班部分工作項目採購案,中央政府,公務人員保障暨培訓委員會,國家文官學院,國家文官學院2014年國際人力資源發展研習班部分工作項目採購案,578000,0,0,0,578000,,未達公告金額
103年度數位典藏橋接產業界推動計畫,中央政府,科技部,秘書處,103年度數位典藏橋接產業界推動計畫,24600000,24600000,0,0,0,,巨額
AISP情報顧問資料庫,學校,南開科技大學,,AISP情報顧問資料庫,180000,0,0,0,180000,,未達公告金額
103年度「我國基因改造科技法制研究」,中央政府,農業委員會,,103年度「我國基因改造科技法制研究」,912000,0,0,0,912000,,未達公告金額
103年海外華語文數位學習中心推廣服務計畫,中央政府,僑務委員會,秘書室,103年海外華語文數位學習中心推廣服務計畫,920000,0,0,0,920000,,未達公告金額
103年「e等公務園」學習網公務人員數位學習行為及動機研究專案採購,中央政府,人事行政總處,公務人力發展中心,103年「e等公務園」學習網公務人員數位學習行為及動機研究專案採購,500000,0,0,0,500000,,未達公告金額
本總處委託辦理「102年行政院跨領域科技管理人才培訓班回流課程」專案,中央政府,人事行政總處,,本總處委託辦理「102年行政院跨領域科技管理人才培訓班回流課程」專案,780000,0,0,0,780000,,未達公告金額
MIC產業情報顧問服務資料庫1式,國營企業,台灣電力股份有限公司,綜合研究所,MIC產業情報顧問服務資料庫1式,182000,0,0,0,182000,,未達公告金額
AISP情報顧問服務資料庫1式,國營企業,台灣電力股份有限公司,綜合研究所,AISP情報顧問服務資料庫1式,185000,0,0,0,185000,,未達公告金額
綠能智慧屋負載管理控制系統試驗平台1套,國營企業,台灣電力股份有限公司,綜合研究所,綠能智慧屋負載管理控制系統試驗平台1套,1714000,0,0,1714000,0,,公告金額以上未達查核金額
興一機智慧型吹灰系統乙批,國營企業,台灣電力股份有限公司,興達發電廠,興一機智慧型吹灰系統乙批,4280000,0,0,4280000,0,,公告金額以上未達查核金額
加入資訊工業策進會「MIC之AISP情報顧問服務」會員一年,國營企業,臺灣土地銀行股份有限公司,,加入資訊工業策進會「MIC之AISP情報顧問服務」會員一年,780000,0,0,0,780000,,未達公告金額
「Advisory & Intelligence Service Program 情報顧問服務」採購案,國營企業,臺灣銀行股份有限公司,,「Advisory & Intelligence Service Program 情報顧問服務」採購案,1800000,0,0,1800000,0,,公告金額以上未達查核金額
辦理「流行音樂數位化流通利用之環境整備」先期研究,中央政府,文化部,影視及流行音樂產業局,辦理「流行音樂數位化流通利用之環境整備」先期研究,850000,0,0,0,850000,,未達公告金額
「103年度文化創意產業輔導陪伴計畫」勞務採購案,中央政府,文化部,,「103年度文化創意產業輔導陪伴計畫」勞務採購案,14654000,0,14654000,0,0,,查核金額以上未達巨額
國立傳統藝術中心蔣渭水演藝廳二樓空間活化經營租賃案,中央政府,文化建設委員會,國立傳統藝術中心,國立傳統藝術中心蔣渭水演藝廳二樓空間活化經營租賃案,154000,0,0,0,154000,,未達公告金額
實習處103年度高級中等學校職業類科專任教師赴公民營機構研習,學校,新北市立新北高級工業職業學校,,實習處103年度高級中等學校職業類科專任教師赴公民營機構研習,150000,0,0,0,150000,,未達公告金額
103年度「新北市企業產經大學-傳產加值學院」委託專業服務案,地方政府,新北市政府,經濟發展局,103年度「新北市企業產經大學-傳產加值學院」委託專業服務案,1300000,0,0,1300000,0,,公告金額以上未達查核金額
103年新北市創業國際發展培育計畫委託專業服務案,地方政府,新北市政府,經濟發展局,103年新北市創業國際發展培育計畫委託專業服務案,1950000,0,0,1950000,0,,公告金額以上未達查核金額
「103年度建置原鄉無線寬頻存取環境強化資訊基礎建設」財物採購案,中央政府,原住民族委員會,,「103年度建置原鄉無線寬頻存取環境強化資訊基礎建設」財物採購案,16000000,0,0,16000000,0,,公告金額以上未達查核金額
能源政策公共參與機制之研究與實踐,中央政府,原子能委員會,核能研究所,能源政策公共參與機制之研究與實踐,800000,0,0,0,800000,,未達公告金額
我國能源配比整合研究探討之臺灣能源科技產業發展願景與策略,中央政府,原子能委員會,核能研究所,我國能源配比整合研究探討之臺灣能源科技產業發展願景與策略,980000,0,0,0,980000,,未達公告金額
「自動需量反應通信協定及系統組件之研究」服務案,中央政府,原子能委員會,核能研究所,「自動需量反應通信協定及系統組件之研究」服務案,4700000,0,0,4700000,0,,公告金額以上未達查核金額
郵務資訊透通化研究,國營企業,中華郵政股份有限公司,,郵務資訊透通化研究,850000,0,0,0,850000,,未達公告金額
中華郵政103年創新培育擴散與推進輔導專案,國營企業,中華郵政股份有限公司,,中華郵政103年創新培育擴散與推進輔導專案,4890000,0,0,4890000,0,,公告金額以上未達查核金額
行政院「禮券定型化契約等18種應記載及不得記載事項整合之研究」專案委託研究,中央政府,行政院,,行政院「禮券定型化契約等18種應記載及不得記載事項整合之研究」專案委託研究,300000,0,0,0,300000,,未達公告金額
103年度「行政院性別平等資料庫整合規劃及專案管理委外服務案」,中央政府,行政院,,103年度「行政院性別平等資料庫整合規劃及專案管理委外服務案」,2880000,0,0,2880000,0,,公告金額以上未達查核金額
辦理「102年資安服務暨專案管理辦公室」,中央政府,行政院,,辦理「102年資安服務暨專案管理辦公室」,180000000,180000000,0,0,0,,巨額
辦理「103年資安服務暨專案管理辦公室」,中央政府,行政院,,辦理「103年資安服務暨專案管理辦公室」,262500000,262500000,0,0,0,,巨額
,,Level2,Level3,Level4,,,,,,,
